Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
0,0.771973,0.22998,-0.673828
1,0.791504,0.227051,-0.637695
2,0.817871,0.250488,-0.632812
3,0.833984,0.262695,-0.59668
4,0.820801,0.27002,-0.589844
5,0.843262,0.26709,-0.562988
6,0.839844,0.274902,-0.537598
7,0.837891,0.286621,-0.529785
8,0.846191,0.297363,-0.509277
9,0.870117,0.318848,-0.496094
10,0.866211,0.32959,-0.473145
11,0.854492,0.331543,-0.473633
12,0.875,0.33252,-0.452148
13,0.877441,0.346191,-0.456055
14,0.875977,0.344727,-0.455078
15,0.862305,0.354492,-0.447754
16,0.843262,0.371094,-0.445312
17,0.900879,0.385742,-0.41748
18,0.842285,0.394043,-0.429199
19,0.869629,0.409668,-0.407227
20,0.856934,0.407227,-0.384766
21,0.876465,0.407715,-0.380371
22,0.872559,0.413086,-0.368652
23,0.845215,0.433594,-0.364258
24,0.859375,0.458496,-0.351074
25,0.855957,0.460938,-0.320312
26,0.870117,0.487793,-0.312988
27,0.86377,0.494629,-0.294922
28,0.870605,0.487793,-0.28418
29,0.845703,0.504883,-0.270508
30,0.858398,0.508789,-0.246094
31,0.850586,0.536621,-0.227539
32,0.850586,0.553711,-0.194336
33,0.857422,0.555664,-0.171875
34,0.855957,0.564453,-0.168945
35,0.830566,0.570312,-0.154297
36,0.846191,0.600098,-0.130371
37,0.833496,0.59668,-0.099121
38,0.830566,0.596191,-0.088867
39,0.8125,0.587891,-0.09082
40,0.813477,0.636719,-0.080078
41,0.772461,0.647461,-0.057617
42,0.751953,0.672852,-0.040527
43,0.739746,0.705078,-0.025391
44,0.738281,0.72168,-0.012207
45,0.711426,0.712891,0.006836
46,0.694824,0.754395,0.02832
47,0.672852,0.771973,0.028809
48,0.652832,0.793457,0.031738
49,0.634277,0.78418,0.040039
50,0.628906,0.790527,0.035156
51,0.59082,0.837891,0.030762
52,0.54248,0.856934,0.015625
53,0.51123,0.875977,-0.007324
54,0.466797,0.883301,-0.017578
55,0.459961,0.876953,-0.040039
56,0.421875,0.935547,-0.057129
57,0.388184,0.925781,-0.071777
58,0.332031,0.946289,-0.121582
59,0.287109,0.98877,-0.14209
60,0.271973,0.998047,-0.137695
61,0.20166,0.953125,-0.17041
62,0.153809,0.982422,-0.209961
63,0.173828,1.015137,-0.182129
64,0.053711,0.972656,-0.20752
65,0.038086,0.956543,-0.220215
66,0.097656,0.989258,-0.226562
67,-0.025391,0.981934,-0.272949
68,-0.009766,0.991699,-0.327637
69,-0.050781,0.997559,-0.292969
70,-0.118652,0.962891,-0.232422
71,-0.196289,0.889648,-0.217285
72,-0.268555,0.95459,-0.259277
73,-0.320312,0.894043,-0.28418
74,-0.371094,0.88916,-0.317383
75,-0.429199,0.855957,-0.290527
76,-0.485352,0.805664,-0.302246
77,-0.521484,0.774902,-0.34082
78,-0.538574,0.769043,-0.318848
79,-0.609863,0.703613,-0.354004
80,-0.611816,0.695801,-0.316406
81,-0.641113,0.64502,-0.319336
82,-0.680664,0.631836,-0.360352
83,-0.728027,0.549805,-0.425781
84,-0.749512,0.460449,-0.43457
85,-0.76709,0.463867,-0.473145
86,-0.736816,0.4375,-0.429199
87,-0.780273,0.407227,-0.476074
88,-0.787109,0.380859,-0.476074
89,-0.785645,0.35498,-0.478027
90,-0.808105,0.327637,-0.522949
91,-0.810547,0.296387,-0.512695
92,-0.795898,0.28125,-0.506836
93,-0.800293,0.255859,-0.48584
94,-0.827637,0.205566,-0.512695
95,-0.802734,0.202148,-0.489258
96,-0.816406,0.151855,-0.528809
97,-0.834473,0.104004,-0.540527
98,-0.84375,0.084473,-0.552734
99,-0.84668,0.036621,-0.54834
100,-0.831543,0.029785,-0.530273
101,-0.844238,-0.003418,-0.557617
102,-0.835938,-0.030762,-0.538086
103,-0.830566,-0.053223,-0.541504
104,-0.814453,-0.034668,-0.530762
105,-0.819824,-0.071777,-0.53418
106,-0.810059,-0.090332,-0.532227
