Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g linked with dados_accel_25_08_full
0,-0.256836,0.296875,0.866699
1,-0.277832,0.308105,0.898926
2,-0.227051,0.206543,0.883301
3,-0.208984,0.150879,0.902344
4,-0.208984,0.155273,0.993652
5,-0.197754,0.084473,0.983398
6,-0.151367,-0.149414,1.01416
7,-0.076172,-0.012695,1.005859
8,0.015625,-0.003906,0.916992
9,0.177734,-0.120605,0.925293
10,0.269043,-0.174805,0.984863
11,0.360352,-0.170898,0.878906
12,0.453613,-0.21875,0.838379
13,0.519531,-0.230957,0.808594
14,0.606934,-0.296387,0.780762
15,0.626465,-0.233398,0.757812
16,0.695801,-0.23584,0.648926
17,0.70459,-0.208008,0.702637
18,0.747559,-0.216309,0.593262
19,0.785645,-0.220703,0.609863
20,0.784668,-0.207031,0.561035
21,0.824707,-0.23877,0.52832
22,0.832031,-0.219238,0.542969
23,0.895996,-0.199707,0.544434
24,0.928711,-0.145508,0.414062
25,0.950195,-0.125488,0.352539
26,0.996094,-0.15918,0.254395
27,0.996582,-0.135742,0.110352
28,1.022461,-0.168945,0.014648
29,1.020508,-0.189941,-0.135254
30,0.973145,-0.133789,-0.209961
31,1.017578,-0.09668,-0.272461
32,0.961426,-0.110352,-0.418457
33,0.879883,-0.168945,-0.546875
34,0.768555,-0.215332,-0.698242
35,0.766602,-0.171387,-0.723633
36,0.708008,-0.168457,-0.773926
37,0.662598,-0.155762,-0.792969
38,0.623047,-0.150391,-0.817871
39,0.579102,-0.162109,-0.876465
40,0.541504,-0.140625,-0.879883
41,0.506836,-0.135742,-0.91748
42,0.477051,-0.112793,-0.934082
43,0.431641,-0.124512,-0.959961
44,0.394043,-0.079102,-0.953613
45,0.345215,-0.105957,-0.983398
46,0.289551,-0.077148,-0.985352
47,0.221191,-0.095703,-1.005859
48,0.123047,-0.105469,-1.015625
49,0.041016,-0.099609,-1.018555
50,-0.01416,-0.120605,-1.019043
51,-0.111328,-0.111816,-1.039062
52,-0.154785,-0.126953,-1.043945
53,-0.223633,-0.138184,-0.99707
54,-0.330078,-0.157227,-0.97168
55,-0.357422,-0.172852,-0.961426
56,-0.446777,-0.192871,-0.899902
57,-0.480469,-0.175293,-0.903809
58,-0.570801,-0.207031,-0.82959
59,-0.597168,-0.218262,-0.797363
60,-0.633789,-0.210938,-0.711426
61,-0.714844,-0.219727,-0.673828
62,-0.796875,-0.213867,-0.561523
63,-0.84668,-0.250488,-0.489746
64,-0.853516,-0.27002,-0.395996
65,-0.921387,-0.301758,-0.254395
66,-0.936035,-0.309082,-0.181152
67,-0.900879,-0.322754,-0.04834
68,-0.895996,-0.365234,-0.08252
69,-0.898926,-0.412598,-0.036621
70,-0.876465,-0.476074,0.006348
71,-0.87793,-0.484863,-0.054199
72,-0.833008,-0.529297,-0.046875
73,-0.758301,-0.633789,-0.088867
74,-0.697754,-0.628906,-0.021973
75,-0.694824,-0.668945,-0.040039
76,-0.657715,-0.774414,-0.018555
77,-0.604004,-0.800781,0.074219
78,-0.614746,-0.778809,0.028809
79,-0.577148,-0.83252,0.101074
80,-0.536621,-0.836914,0.060059
81,-0.522461,-0.865234,0.055664
82,-0.318359,-0.987305,0.196289
83,-0.323242,-0.919922,0.129883
84,-0.218262,-0.961914,0.165039
85,-0.063477,-0.96875,0.103027
86,0.133301,-0.992188,0.041992
87,0.27832,-1.008301,0.005371
88,0.651855,-1.01416,-0.263672
89,0.709961,-0.740234,-0.08252
90,0.928711,-0.553223,-0.209961
91,0.90332,-0.268555,-0.362793
92,0.922852,-0.034668,-0.46582
93,1.009766,0.094727,-0.567383
94,0.815918,0.149414,-0.631836
95,0.742676,0.115723,-0.658691
96,0.657227,0.348633,-0.746094
97,0.574219,0.409668,-0.738281
98,0.535645,0.541504,-0.72998
99,0.479492,0.557617,-0.772461
