Timestamp,X_Mag_Raw,Y_Mag_Raw,Z_Mag_Raw
0,-0.329927,-0.188321,0.164234
1,-0.333577,-0.193431,0.160584
2,-0.335036,-0.210949,0.159124
3,-0.337226,-0.227737,0.158394
4,-0.349635,-0.213869,0.119708
5,-0.348905,-0.193431,0.105839
6,-0.340146,-0.146715,0.059854
7,-0.320438,-0.111679,0.035766
8,-0.291241,-0.082482,0.006569
9,-0.247445,-0.063504,-0.030657
10,-0.205109,-0.055474,-0.056934
11,-0.194891,-0.056204,-0.063504
12,-0.208759,-0.051095,-0.049635
13,-0.214599,-0.033577,-0.015328
14,-0.219708,-0.023358,0.022628
15,-0.219708,-0.019708,0.038686
16,-0.225547,-0.021898,0.062044
17,-0.238686,-0.030657,0.09708
18,-0.249635,-0.042336,0.118248
19,-0.260584,-0.063504,0.145985
20,-0.274453,-0.087591,0.162774
21,-0.29708,-0.122628,0.164964
22,-0.307299,-0.142336,0.164964
23,-0.312409,-0.165693,0.167153
24,-0.314599,-0.186861,0.173723
25,-0.308029,-0.2,0.186131
26,-0.3,-0.213139,0.19854
27,-0.29562,-0.216058,0.205109
28,-0.290511,-0.216788,0.210949
29,-0.293431,-0.211679,0.207299
30,-0.283942,-0.213139,0.218248
31,-0.278832,-0.213869,0.224088
32,-0.271533,-0.213869,0.229927
33,-0.265693,-0.214599,0.236496
34,-0.263504,-0.216788,0.237226
35,-0.261314,-0.218248,0.240146
36,-0.255474,-0.219708,0.243796
37,-0.248175,-0.220438,0.248905
38,-0.241606,-0.216788,0.254015
39,-0.229927,-0.214599,0.259854
40,-0.218978,-0.210219,0.264964
41,-0.20219,-0.20365,0.270073
42,-0.185401,-0.19562,0.275182
43,-0.167153,-0.176642,0.276642
44,-0.157664,-0.167883,0.276642
45,-0.144526,-0.167153,0.279562
46,-0.142336,-0.167883,0.278832
47,-0.147445,-0.167883,0.279562
48,-0.154745,-0.169343,0.278832
49,-0.156204,-0.167153,0.278102
50,-0.158394,-0.163504,0.277372
51,-0.154015,-0.157664,0.276642
52,-0.148175,-0.155474,0.276642
53,-0.142336,-0.154015,0.275182
54,-0.138686,-0.151825,0.277372
55,-0.139416,-0.149635,0.275912
56,-0.136496,-0.148175,0.276642
57,-0.135766,-0.149635,0.275912
58,-0.136496,-0.151095,0.277372
59,-0.134307,-0.152555,0.278832
60,-0.132847,-0.154015,0.278102
61,-0.130657,-0.156204,0.280292
62,-0.127737,-0.158394,0.280292
63,-0.120438,-0.158394,0.280292
64,-0.118978,-0.159124,0.279562
65,-0.118978,-0.163504,0.280292
66,-0.120438,-0.167153,0.282482
67,-0.113869,-0.170073,0.282482
68,-0.113869,-0.171533,0.283212
69,-0.118978,-0.175182,0.283942
70,-0.121168,-0.181022,0.284672
71,-0.121898,-0.189051,0.286131
72,-0.124818,-0.19781,0.286861
73,-0.127007,-0.20365,0.287591
74,-0.127737,-0.210949,0.289781
75,-0.127737,-0.215328,0.290511
76,-0.129927,-0.222628,0.289051
