Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
0,0.00292,-0.366423,-0.034307
1,0.006569,-0.366423,-0.032117
2,0.011679,-0.363504,-0.028467
3,0.017518,-0.362044,-0.026277
4,0.021898,-0.359854,-0.022628
5,0.026277,-0.358394,-0.020438
6,0.029197,-0.357664,-0.017518
7,0.034307,-0.355474,-0.015328
8,0.040146,-0.353285,-0.011679
9,0.043066,-0.350365,-0.008029
10,0.046715,-0.349635,-0.00438
11,0.048905,-0.348905,-0.00073
12,0.052555,-0.347445,0.00292
13,0.054745,-0.345255,0.005839
14,0.056204,-0.345255,0.006569
15,0.058394,-0.343066,0.008029
16,0.062044,-0.339416,0.009489
17,0.064964,-0.337956,0.012409
18,0.067883,-0.335036,0.016058
19,0.072263,-0.332117,0.021898
20,0.074453,-0.331387,0.025547
21,0.075182,-0.328467,0.027737
22,0.078832,-0.325547,0.031387
23,0.079562,-0.322628,0.033577
24,0.083942,-0.318248,0.037956
25,0.086861,-0.315328,0.042336
26,0.089781,-0.312409,0.048175
27,0.092701,-0.310219,0.051825
28,0.092701,-0.307299,0.056934
29,0.094161,-0.30438,0.061314
30,0.09635,-0.30219,0.067153
31,0.09854,-0.29635,0.073723
32,0.1,-0.292701,0.081752
33,0.10073,-0.292701,0.086131
34,0.10073,-0.289781,0.090511
35,0.10073,-0.288321,0.09562
36,0.10073,-0.284672,0.1
37,0.10146,-0.281752,0.10365
38,0.10365,-0.280292,0.105109
39,0.10292,-0.276642,0.105839
40,0.10438,-0.272263,0.108029
41,0.105839,-0.264964,0.110219
42,0.107299,-0.258394,0.113869
43,0.105839,-0.253285,0.118248
44,0.105109,-0.247445,0.122628
45,0.105839,-0.245255,0.125547
46,0.105839,-0.238686,0.128467
47,0.105839,-0.233577,0.130657
48,0.105109,-0.228467,0.134307
49,0.105109,-0.223358,0.134307
50,0.10365,-0.218978,0.137956
51,0.10365,-0.207299,0.140146
52,0.10146,-0.193431,0.141606
53,0.10219,-0.186131,0.141606
54,0.09927,-0.176642,0.142336
55,0.09927,-0.170073,0.141606
56,0.09562,-0.159124,0.142336
57,0.093431,-0.150365,0.143066
58,0.089781,-0.140146,0.141606
59,0.085401,-0.128467,0.140876
60,0.080292,-0.116788,0.139416
61,0.073723,-0.105109,0.138686
62,0.068613,-0.09708,0.139416
63,0.062044,-0.089051,0.138686
64,0.057664,-0.080292,0.138686
65,0.051825,-0.074453,0.138686
