Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga linked with dados_mag_25_08_full
0,-0.270073,-0.052555,0.110949
1,-0.263504,-0.048905,0.120438
2,-0.257664,-0.045985,0.132117
3,-0.246715,-0.042336,0.142336
4,-0.240146,-0.037956,0.147445
5,-0.235036,-0.041606,0.161314
6,-0.224088,-0.035766,0.165693
7,-0.220438,-0.043796,0.182482
8,-0.213139,-0.058394,0.207299
9,-0.207299,-0.072993,0.224818
10,-0.19708,-0.086861,0.240146
11,-0.183212,-0.10073,0.254015
12,-0.172993,-0.108759,0.262044
13,-0.162044,-0.119708,0.270073
14,-0.148905,-0.120438,0.272993
15,-0.142336,-0.130657,0.277372
16,-0.135036,-0.134307,0.279562
17,-0.129197,-0.142336,0.281752
18,-0.121168,-0.147445,0.284672
19,-0.113139,-0.147445,0.283942
20,-0.106569,-0.148175,0.284672
21,-0.10073,-0.147445,0.283942
22,-0.091971,-0.150365,0.283212
23,-0.083942,-0.150365,0.283212
24,-0.065693,-0.143796,0.278832
25,-0.055474,-0.144526,0.276642
26,-0.037226,-0.145985,0.272263
27,-0.010219,-0.148175,0.262044
28,0.014599,-0.145255,0.247445
29,0.036496,-0.145255,0.232847
30,0.053285,-0.141606,0.216058
31,0.059854,-0.134307,0.205839
32,0.076642,-0.132117,0.183212
33,0.09562,-0.134307,0.153285
34,0.107299,-0.137956,0.124088
35,0.110219,-0.135766,0.107299
36,0.110949,-0.132847,0.093431
37,0.110949,-0.132847,0.083942
38,0.110949,-0.130657,0.072263
39,0.110219,-0.130657,0.060584
40,0.108759,-0.130657,0.051095
41,0.108759,-0.129927,0.043796
42,0.105839,-0.128467,0.037226
43,0.10219,-0.125547,0.029927
44,0.1,-0.121898,0.021168
45,0.09781,-0.121168,0.014599
46,0.092701,-0.120438,0.00365
47,0.085401,-0.120438,-0.010219
48,0.075182,-0.123358,-0.028467
49,0.067153,-0.124818,-0.042336
50,0.057664,-0.128467,-0.054015
51,0.049635,-0.132117,-0.063504
52,0.038686,-0.137956,-0.075182
53,0.029197,-0.140146,-0.083942
54,0.015328,-0.145985,-0.09562
55,0.00365,-0.148905,-0.10073
56,-0.007299,-0.149635,-0.108029
57,-0.026277,-0.148175,-0.113139
58,-0.046715,-0.145985,-0.119708
59,-0.063504,-0.145985,-0.121898
60,-0.080292,-0.143066,-0.123358
61,-0.105839,-0.136496,-0.123358
62,-0.137226,-0.134307,-0.120438
63,-0.158394,-0.135036,-0.117518
64,-0.186861,-0.139416,-0.109489
65,-0.213869,-0.143066,-0.09708
66,-0.240876,-0.143066,-0.081752
67,-0.256934,-0.147445,-0.070803
68,-0.265693,-0.150365,-0.064234
69,-0.266423,-0.151825,-0.062774
70,-0.278102,-0.155474,-0.051095
71,-0.293431,-0.159124,-0.034307
72,-0.30146,-0.164964,-0.027737
73,-0.30073,-0.172993,-0.032117
74,-0.30219,-0.183212,-0.033577
75,-0.306569,-0.190511,-0.032117
76,-0.308759,-0.205839,-0.032117
77,-0.310949,-0.218248,-0.030657
78,-0.310949,-0.226277,-0.030657
79,-0.312409,-0.235766,-0.027007
80,-0.308759,-0.254745,-0.031387
81,-0.308029,-0.262774,-0.027737
82,-0.30219,-0.283212,-0.027737
83,-0.29708,-0.307299,-0.019708
84,-0.293431,-0.322628,-0.013139
85,-0.288321,-0.337956,-0.00438
86,-0.266423,-0.369343,0.0
87,-0.240146,-0.39635,0.006569
88,-0.20219,-0.418978,0.010219
89,-0.140146,-0.437956,0.016788
90,-0.09708,-0.438686,0.016788
91,-0.057664,-0.432117,0.018248
92,-0.020438,-0.420438,0.022628
93,0.007299,-0.40438,0.020438
94,0.036496,-0.381752,0.017518
95,0.056204,-0.359854,0.016058
96,0.081752,-0.324818,0.010949
97,0.093431,-0.30292,0.010219
98,0.105839,-0.265693,0.008759
99,0.110219,-0.248175,0.005109
100,0.108759,-0.212409,-0.00219
101,0.10438,-0.178102,-0.008029
102,0.09635,-0.148905,-0.007299
103,0.084672,-0.122628,-0.011679
104,0.072993,-0.108759,-0.018248
105,0.055474,-0.082482,-0.019708
106,0.036496,-0.060584,-0.015328
107,-0.005109,-0.040876,-0.032847
108,-0.037956,-0.037956,-0.048905
109,-0.056204,-0.028467,-0.043066
110,-0.080292,-0.027007,-0.045255
111,-0.09562,-0.021898,-0.041606
