Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
0,0.224609,0.158691,-1.003906
1,0.081055,0.229004,-1.008301
2,0.05127,0.280762,-0.979492
3,-0.015137,0.293457,-0.969727
4,-0.066895,0.376465,-0.951172
5,-0.168457,0.42334,-0.908203
6,-0.212402,0.446289,-0.90625
7,-0.239258,0.48584,-0.831543
8,-0.185059,0.625488,-0.789062
9,-0.17334,0.631836,-0.787109
10,-0.169922,0.628418,-0.76416
11,-0.182617,0.64209,-0.742676
12,-0.137695,0.695312,-0.724609
13,-0.122559,0.766113,-0.62207
14,0.005859,0.894043,-0.495117
15,0.054199,0.897949,-0.470703
16,0.041016,0.9375,-0.422363
17,0.054688,0.914551,-0.41748
18,0.06543,0.899414,-0.408203
19,0.089844,0.915039,-0.375977
20,0.143066,0.952637,-0.348633
21,0.223145,0.887695,-0.347168
22,0.265625,0.968262,-0.248535
23,0.313965,0.969238,-0.146484
24,0.373535,0.925293,-0.135254
25,0.445801,0.910156,-0.132324
26,0.506836,0.886719,-0.049316
27,0.547363,0.865723,0.015625
28,0.544434,0.869141,0.0625
29,0.480957,0.881836,0.091309
30,0.526855,0.871582,0.080566
31,0.48584,0.859375,0.056641
32,0.499512,0.871582,0.052734
33,0.469238,0.898926,0.068359
34,0.402344,0.899414,0.085938
35,0.375977,0.908691,0.097656
36,0.365234,0.908691,0.111816
37,0.320801,0.93457,0.169434
38,0.297852,0.946777,0.192383
39,0.293945,0.927734,0.188477
40,0.308594,0.954102,0.231445
41,0.335449,0.937988,0.188477
42,0.336914,0.927246,0.152832
43,0.373047,0.914551,0.091797
44,0.384277,0.914551,0.035645
45,0.377441,0.935059,0.009766
46,0.416016,0.93457,-0.056152
47,0.402344,0.929199,-0.100098
48,0.421387,0.927734,-0.162109
49,0.361816,0.882324,-0.274902
50,0.344238,0.922852,-0.259277
51,0.332031,0.936523,-0.280762
52,0.256348,0.895996,-0.363281
53,0.202637,0.875977,-0.40332
54,0.168945,0.908691,-0.432617
55,0.080566,0.847656,-0.48584
56,0.084961,0.894043,-0.471191
57,-0.032227,0.856445,-0.515625
58,-0.046387,0.877441,-0.521484
59,-0.13916,0.842285,-0.51709
60,-0.214355,0.831543,-0.520508
61,-0.308594,0.801758,-0.495605
62,-0.308594,0.803711,-0.513672
63,-0.28125,0.812012,-0.488281
64,-0.376465,0.793457,-0.472656
65,-0.390137,0.792969,-0.464844
66,-0.418457,0.77832,-0.466797
67,-0.48877,0.740234,-0.463379
68,-0.498047,0.739258,-0.447754
69,-0.552246,0.720703,-0.40918
70,-0.628906,0.688965,-0.387207
71,-0.589844,0.700684,-0.347168
72,-0.631836,0.666504,-0.341309
73,-0.682617,0.637695,-0.318359
74,-0.741699,0.536621,-0.305664
75,-0.825195,0.496582,-0.266113
76,-0.789551,0.503906,-0.257324
