Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
0,0.9375,-0.257812,-0.406738
1,0.958008,-0.248047,-0.370605
2,0.92334,-0.261719,-0.373047
3,0.939941,-0.266113,-0.379395
4,0.9375,-0.29248,-0.393555
5,0.87793,-0.302246,-0.437012
6,0.92334,-0.303223,-0.42627
7,0.969727,-0.294434,-0.380859
8,0.915527,-0.270996,-0.405273
9,0.935059,-0.273438,-0.404785
10,0.913086,-0.28418,-0.425781
11,0.916992,-0.284668,-0.408203
12,0.927734,-0.295898,-0.406738
13,0.953125,-0.298828,-0.400391
14,0.938965,-0.28418,-0.381348
15,0.922852,-0.316406,-0.415039
16,0.914551,-0.259277,-0.374023
17,0.937012,-0.154297,-0.371582
18,0.903809,-0.371094,-0.359863
19,0.92334,-0.540527,-0.26123
20,0.829102,-0.576172,-0.312012
21,0.728516,-0.838379,-0.456543
22,0.705566,-0.69873,-0.350098
23,0.604492,-0.835938,-0.356445
24,0.507812,-0.809082,-0.433594
25,0.505859,-0.791016,-0.425293
26,0.475586,-0.824707,-0.42627
27,0.373535,-0.873535,-0.466309
28,0.491211,-0.781738,-0.481445
29,0.522949,-0.787598,-0.478027
30,0.622559,-0.711426,-0.503906
31,0.754395,-0.563477,-0.483398
32,0.791504,-0.448242,-0.505371
33,0.904785,-0.285645,-0.458984
34,0.930176,-0.08252,-0.467285
35,0.946289,0.023438,-0.462402
36,0.961426,0.116699,-0.452637
37,0.938477,0.236328,-0.442383
38,0.907227,0.342285,-0.476562
39,0.812988,0.430176,-0.489258
40,0.782715,0.537109,-0.479492
41,0.747559,0.646484,-0.507324
42,0.674316,0.571777,-0.502441
43,0.769531,0.563477,-0.474609
44,0.783203,0.45166,-0.479492
45,0.623047,0.135742,-0.508301
46,0.814453,0.124023,-0.504883
47,0.901855,0.099609,-0.506348
48,0.988281,0.019531,-0.516113
49,0.98291,-0.103027,-0.453125
50,0.897461,-0.26416,-0.495117
51,0.885742,-0.362793,-0.515137
52,0.771973,-0.517578,-0.523438
53,0.604492,-0.664551,-0.55127
54,0.410156,-0.723633,-0.655273
55,0.259277,-0.810059,-0.630371
56,0.117676,-0.839844,-0.657715
57,0.041992,-0.836914,-0.59668
58,-0.119141,-0.825195,-0.604004
59,-0.217773,-0.865723,-0.586426
60,-0.140625,-0.834473,-0.598633
61,-0.025391,-0.82666,-0.647461
62,0.23291,-0.759277,-0.645996
63,0.359375,-0.736816,-0.677734
64,0.413574,-0.675781,-0.683594
65,0.48877,-0.631348,-0.695801
66,0.466797,-0.586914,-0.713379
67,0.577637,-0.537598,-0.702637
68,0.641113,-0.513184,-0.685547
69,0.789551,-0.370605,-0.677734
70,0.790527,-0.245117,-0.698242
71,0.840332,-0.123047,-0.675293
72,0.803711,0.009766,-0.641602
73,0.82666,0.173828,-0.618652
74,0.815918,0.29834,-0.61377
75,0.73877,0.437988,-0.598145
76,0.612793,0.553711,-0.581543
77,0.552734,0.633789,-0.584473
78,0.476074,0.69873,-0.561523
79,0.444824,0.76709,-0.549805
80,0.34668,0.827148,-0.532227
81,0.300293,0.842773,-0.51709
82,0.24707,0.861328,-0.498047
83,0.266602,0.900879,-0.505371
84,0.312012,0.868164,-0.520996
85,0.297852,0.88916,-0.515137
86,0.379395,0.848145,-0.510742
87,0.441895,0.815918,-0.463867
88,0.529785,0.78125,-0.421387
89,0.636719,0.710938,-0.42627
90,0.48584,0.296875,-0.42334
91,0.72998,0.145996,-0.475098
92,0.882324,0.066406,-0.500977
93,0.980469,0.042969,-0.571289
94,0.972168,-0.11377,-0.576172
95,0.897461,-0.152832,-0.59375
96,0.874512,-0.189941,-0.609375
97,0.818359,-0.243164,-0.643555
98,0.691895,-0.322754,-0.746094
99,0.624512,-0.349121,-0.745117
100,0.52832,-0.424805,-0.810059
101,0.493164,-0.515137,-0.894043
102,0.37793,-0.424805,-0.871582
103,0.396973,-0.418457,-0.912598
104,0.294922,-0.413086,-0.890137
105,0.258789,-0.452148,-0.923828
106,0.196777,-0.458984,-0.905762
107,0.219727,-0.519043,-0.883301
108,0.138184,-0.558594,-0.906738
109,0.150879,-0.586914,-0.86084
110,0.108887,-0.644531,-0.837891
111,-0.004395,-0.68457,-0.856934
112,-0.02002,-0.676758,-0.816895
113,-0.14502,-0.652344,-0.79834
114,-0.182617,-0.675293,-0.799805
115,-0.115723,-0.697266,-0.825195
116,-0.031738,-0.61377,-0.79541
117,0.18457,-0.740723,-0.793457
118,0.349121,-0.646973,-0.810547
119,0.371582,-0.553223,-0.841309
120,0.52002,-0.474609,-0.836914
121,0.535156,-0.436523,-0.845703
122,0.521484,-0.407715,-0.822266
123,0.404785,-0.501465,-0.84668
124,0.309082,-0.580566,-0.818359
125,0.268555,-0.618164,-0.827637
126,0.274414,-0.620117,-0.804688
127,0.247559,-0.784668,-0.620117
128,0.309082,-0.843262,-0.484863
129,0.277832,-0.902344,-0.28125
130,0.319824,-0.966797,-0.173828
131,0.189941,-1.005859,-0.044922
132,0.166504,-0.966797,-0.072266
133,0.107422,-0.996582,-0.141113
134,-0.037109,-1.004883,-0.158203
135,-0.027832,-1.003418,-0.224121
136,-0.058105,-0.983887,-0.211426
137,-0.079102,-0.99707,-0.199219
138,-0.080078,-1.002441,-0.120117
139,-0.038086,-1.008789,-0.100098
140,-0.012207,-1.015625,-0.088379
141,0.047852,-1.01416,-0.046875
142,0.086426,-1.019531,-0.024902
143,0.146484,-0.99707,-0.03125
144,0.223145,-0.980957,0.013672
