Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
0,-0.230657,-0.381752,0.167883
1,-0.237226,-0.377372,0.167883
2,-0.244526,-0.372263,0.167153
3,-0.248175,-0.367153,0.168613
4,-0.252555,-0.363504,0.168613
5,-0.256934,-0.357664,0.169343
6,-0.261314,-0.352555,0.172263
7,-0.267153,-0.347445,0.172263
8,-0.270803,-0.342336,0.172263
9,-0.276642,-0.337226,0.170803
10,-0.281752,-0.329197,0.169343
11,-0.291241,-0.316058,0.166423
12,-0.3,-0.3,0.164964
13,-0.307299,-0.285401,0.164964
14,-0.310219,-0.275912,0.164234
15,-0.313869,-0.262774,0.163504
16,-0.314599,-0.254745,0.164234
17,-0.316788,-0.245985,0.162774
18,-0.318248,-0.240876,0.164234
19,-0.317518,-0.233577,0.166423
20,-0.316788,-0.229927,0.167153
21,-0.317518,-0.223358,0.169343
22,-0.316788,-0.216788,0.171533
23,-0.316058,-0.212409,0.172993
24,-0.316788,-0.208759,0.168613
25,-0.319708,-0.20292,0.164964
26,-0.321168,-0.2,0.163504
27,-0.318978,-0.205839,0.167153
28,-0.318248,-0.205109,0.167153
29,-0.318248,-0.20146,0.169343
30,-0.317518,-0.19562,0.170803
31,-0.313869,-0.175912,0.173723
32,-0.30146,-0.141606,0.179562
33,-0.294161,-0.132117,0.184672
34,-0.291241,-0.132117,0.187591
35,-0.291971,-0.129927,0.187591
36,-0.291971,-0.130657,0.186131
37,-0.29635,-0.136496,0.185401
38,-0.293431,-0.131387,0.186861
39,-0.294161,-0.130657,0.183212
40,-0.294161,-0.129927,0.182482
41,-0.291241,-0.120438,0.180292
42,-0.283212,-0.108759,0.183212
43,-0.279562,-0.10219,0.183212
44,-0.274453,-0.091971,0.181022
45,-0.267153,-0.085401,0.185401
46,-0.256934,-0.088321,0.19854
47,-0.254015,-0.09781,0.209489
48,-0.249635,-0.086861,0.205839
49,-0.247445,-0.086131,0.208029
50,-0.243796,-0.078102,0.20438
51,-0.237956,-0.066423,0.19854
52,-0.229197,-0.056204,0.194161
53,-0.222628,-0.050365,0.193431
54,-0.214599,-0.044526,0.192701
55,-0.20438,-0.037956,0.191241
56,-0.193431,-0.032117,0.189781
57,-0.182482,-0.024088,0.186861
58,-0.172993,-0.019708,0.185401
59,-0.164234,-0.015328,0.184672
60,-0.151095,-0.010219,0.181022
61,-0.138686,-0.009489,0.184672
62,-0.130657,-0.008759,0.183942
63,-0.124088,-0.008029,0.184672
64,-0.116788,-0.005839,0.183942
65,-0.114599,-0.00438,0.181752
66,-0.111679,-0.00438,0.182482
67,-0.10292,-0.00438,0.181752
68,-0.094891,-0.00438,0.181752
69,-0.089051,-0.00438,0.183212
70,-0.075912,-0.005109,0.183212
71,-0.064234,-0.009489,0.186131
72,-0.057664,-0.013139,0.189051
73,-0.053285,-0.017518,0.191241
74,-0.045985,-0.025547,0.2
75,-0.034307,-0.040876,0.213139
76,-0.020438,-0.062774,0.226277
77,-0.018978,-0.077372,0.237226
78,-0.032117,-0.075912,0.242336
79,-0.067883,-0.075182,0.251825
80,-0.105839,-0.075912,0.255474
81,-0.120438,-0.073723,0.253285
82,-0.129197,-0.071533,0.253285
83,-0.137226,-0.070073,0.249635
84,-0.149635,-0.072263,0.248905
85,-0.162044,-0.072993,0.245255
86,-0.169343,-0.070803,0.241606
87,-0.179562,-0.070803,0.239416
88,-0.181752,-0.084672,0.248175
89,-0.172263,-0.120438,0.267883
90,-0.165693,-0.145985,0.279562
91,-0.155474,-0.159124,0.283212
92,-0.141606,-0.174453,0.288321
93,-0.129197,-0.19927,0.291971
94,-0.121168,-0.221168,0.291241
95,-0.113139,-0.248175,0.288321
96,-0.111679,-0.275182,0.283212
97,-0.109489,-0.289051,0.279562
98,-0.107299,-0.305839,0.273723
99,-0.109489,-0.325547,0.261314
100,-0.120438,-0.355474,0.242336
101,-0.124088,-0.367883,0.232117
102,-0.134307,-0.382482,0.216058
103,-0.148175,-0.39854,0.19562
104,-0.158394,-0.408759,0.175182
105,-0.163504,-0.415328,0.159854
106,-0.168613,-0.418248,0.149635
107,-0.174453,-0.420438,0.139416
108,-0.176642,-0.420438,0.137226
109,-0.181022,-0.421168,0.130657
110,-0.181752,-0.422628,0.121898
111,-0.178102,-0.427737,0.09562
112,-0.179562,-0.428467,0.076642
113,-0.181752,-0.422628,0.040146
114,-0.181752,-0.415328,0.012409
115,-0.186131,-0.405109,-0.007299
116,-0.189051,-0.39635,-0.019708
117,-0.194891,-0.387591,-0.029927
118,-0.20146,-0.378832,-0.036496
