Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
0,-0.243066,-0.255474,-0.054745
1,-0.256934,-0.283212,-0.037226
2,-0.271533,-0.275182,-0.016058
3,-0.294161,-0.220438,0.035036
4,-0.29781,-0.20073,0.081752
5,-0.291971,-0.183212,0.09562
6,-0.267883,-0.134307,0.09562
7,-0.236496,-0.092701,0.086131
8,-0.189051,-0.059124,0.065693
9,-0.137226,-0.042336,0.034307
10,-0.09708,-0.040146,0.015328
11,-0.052555,-0.057664,-0.014599
12,-0.032847,-0.083212,-0.040876
13,-0.032847,-0.106569,-0.063504
14,-0.043066,-0.146715,-0.087591
15,-0.071533,-0.189781,-0.106569
16,-0.10073,-0.233577,-0.110949
17,-0.10438,-0.276642,-0.108759
18,-0.123358,-0.306569,-0.1
19,-0.133577,-0.348905,-0.081022
20,-0.138686,-0.365693,-0.071533
21,-0.126277,-0.386861,-0.062044
22,-0.10073,-0.405109,-0.051095
23,-0.067153,-0.425547,-0.030657
24,-0.032117,-0.435036,-0.007299
25,0.00219,-0.434307,0.008029
26,0.044526,-0.418978,0.024088
27,0.081752,-0.394891,0.042336
28,0.110949,-0.359124,0.043796
29,0.132847,-0.294161,0.021168
30,0.124818,-0.262044,-0.008029
31,0.10365,-0.265693,-0.038686
32,0.067883,-0.265693,-0.070073
33,0.050365,-0.266423,-0.081022
34,0.056934,-0.291241,-0.070803
35,0.046715,-0.354015,-0.046715
36,-0.032117,-0.416788,-0.031387
37,-0.126277,-0.408759,-0.037226
38,-0.189051,-0.375912,-0.037956
39,-0.232847,-0.314599,-0.038686
40,-0.250365,-0.261314,-0.034307
41,-0.252555,-0.227007,-0.031387
42,-0.258394,-0.185401,-0.013139
43,-0.259124,-0.155474,0.010219
44,-0.251095,-0.124818,0.029197
45,-0.240146,-0.10146,0.048905
46,-0.227007,-0.089051,0.061314
47,-0.218248,-0.081022,0.066423
48,-0.208759,-0.074453,0.070803
49,-0.194161,-0.067153,0.056934
50,-0.19854,-0.075912,0.044526
51,-0.210219,-0.094891,0.016788
52,-0.212409,-0.112409,-0.00219
53,-0.20219,-0.133577,-0.034307
54,-0.205109,-0.185401,-0.059124
55,-0.215328,-0.245985,-0.061314
56,-0.212409,-0.30438,-0.053285
57,-0.190511,-0.362044,-0.039416
58,-0.172263,-0.394161,-0.022628
59,-0.152555,-0.413869,-0.010219
60,-0.132847,-0.427007,-0.00438
61,-0.108759,-0.438686,0.006569
62,-0.081022,-0.448175,0.022628
63,-0.054745,-0.453285,0.039416
64,-0.025547,-0.451825,0.063504
65,0.013139,-0.440876,0.09781
66,0.048175,-0.416058,0.124088
67,0.067883,-0.381752,0.167883
68,0.066423,-0.327737,0.219708
69,0.034307,-0.271533,0.262044
70,-0.011679,-0.237226,0.283212
71,-0.058394,-0.213869,0.291241
72,-0.081752,-0.20146,0.289781
73,-0.09927,-0.164964,0.279562
74,-0.124818,-0.137956,0.262774
75,-0.162774,-0.143796,0.251825
76,-0.181022,-0.161314,0.253285
77,-0.191241,-0.140146,0.234307
