roll,pitch,yaw
2.775607798944192961e-01,4.944728451172947439e-07,2.890335055960985278e-01
8.118423381633261063e-03,3.122894624607115661e-09,8.268532602528822287e-03
1.144275265861891988e+00,-3.572819206130101632e-06,1.032170565111336424e+00
1.224318459060103059e+00,-7.717762396820129910e-06,1.107789625812321654e+00
4.170253701466203888e-01,-9.973012776993066328e-07,3.592390941225799827e-01
4.086749804240691342e-01,-9.820611903480826006e-07,3.267869839400620591e-01
1.252937793813997169e+00,-4.606409185501229445e-06,9.865198202462421850e-01
6.129820645532578771e-01,-1.279810763487184961e-06,4.340961351110675381e-01
8.867174172567703350e-01,-3.105092062156349929e-06,6.196099267984932490e-01
-2.582896350014717290e-01,5.381696960227340102e-07,-1.717471490827850444e-01
-7.341142868550858402e-01,2.599056402141949440e-06,-4.733137176765854770e-01
-9.896612291913753356e-01,3.741257309311360958e-06,-5.670076250077781266e-01
3.310756947726707922e-01,-1.707318052743088656e-06,1.832409172786747531e-01
-5.933299873278352621e-01,1.507947964276542837e-06,-3.017031219044618573e-01
-1.622460853862979224e-01,7.502367877469139356e-07,-8.154041351950649941e-02
2.108492497829222156e-01,-1.129697672930571979e-06,9.692707598495108046e-02
4.064514074309171776e-01,-2.474054442454168341e-06,1.825246986281401917e-01
-1.167856437708456374e+00,6.355939980834552098e-06,-4.769102079081941614e-01
4.062884847350274331e-01,-2.306524580645686943e-06,1.534957275993986403e-01
5.433967706403624032e-01,-3.880368398043040361e-06,1.876624301718283483e-01
1.036556632919289483e-01,-5.888962658306429554e-07,3.159253289680002963e-02
1.054873264788144693e+00,-8.378586624929703676e-06,3.182211567501530003e-01
-1.246965408779421969e+00,6.704915906572650872e-06,-3.117007721445225754e-01
5.059560419022774980e-01,-5.097952323968016458e-06,1.296951992146281596e-01
1.684852531234190195e-02,-1.205430484658768410e-07,3.524791578110385293e-03
-6.591317168556906081e-01,4.267252385493808523e-06,-1.102846473515307207e-01
6.936730851177792534e-01,-5.542018976594652554e-06,1.059196990856484250e-01
